winning_hero_id_1,winning_hero_id_2,winning_hero_id_3,winning_hero_id_4,winning_hero_id_5
16,41,49,76,79
2,7,26,39,44
13,54,72,86,92
35,40,89,97,99
2,26,82,93,101
8,57,76,86,107
8,11,26,29,62
8,9,23,67,98
22,41,50,107,109
11,28,54,75,86
9,30,83,96,106
28,50,55,65,100
9,21,64,69,78
7,25,26,47,63
7,20,67,76,112
11,50,77,86,99
29,36,60,87,109
17,30,72,85,112
11,25,79,89,110
5,9,31,65,69
26,39,47,82,102
4,14,20,36,44
17,20,38,67,87
27,29,34,58,77
2,7,17,26,95
9,18,55,76,84
15,29,42,53,101
15,43,78,88,92
18,69,76,79,88
2,25,41,50,110
2,20,33,35,74
7,41,75,84,106
11,53,57,78,101
14,29,30,47,87
40,43,65,67,88
23,29,82,99,112
8,40,49,80,86
9,43,69,84,99
15,16,39,51,93
15,39,55,62,87
16,35,55,90,98
2,4,33,37,39
20,41,64,74,95
27,44,63,84,96
2,10,34,50,71
42,46,84,96,101
4,29,31,35,41
77,79,92,93,96
7,11,17,23,50
2,49,84,93,102
13,15,20,33,104
34,54,62,65,111
35,37,99,104,107
37,44,48,65,111
1,2,3,26,35
6,7,40,64,112
26,53,56,69,76
30,39,42,73,87
11,20,65,83,96
29,31,72,100,102
26,34,41,47,102
12,39,55,87,100
9,20,47,77,87
30,43,47,48,85
39,64,85,87,106
20,43,47,68,99
20,41,76,84,101
17,20,63,72,85
16,20,71,72,74
18,38,50,61,88
9,27,58,69,93
2,17,30,62,69
14,50,56,74,96
2,26,28,46,102
27,35,68,78,96
55,62,65,72,111
22,26,58,67,111
7,25,83,93,95
16,47,68,77,96
3,11,28,99,112
19,55,60,77,87
5,9,65,84,93
17,57,72,86,110
15,39,51,87,112
13,40,53,72,73
16,22,30,39,70
2,4,11,50,110
5,63,88,102,106
11,17,39,62,112
15,27,51,94,104
14,27,47,68,88
38,52,54,79,80
22,35,53,76,106
9,41,42,59,69
7,19,43,61,78
13,26,47,63,88
13,48,91,92,99
15,63,86,88,97
30,47,64,67,74
2,45,50,63,85
5,8,26,43,103
9,16,43,65,101
7,41,53,87,97
11,50,71,72,89
11,30,38,59,90
7,37,55,70,93
13,40,72,84,85
27,41,99,101,106
22,30,44,52,85
8,39,55,71,87
22,39,71,86,100
16,39,68,77,88
1,30,41,47,60
43,64,77,85,90
7,36,50,55,59
29,37,84,93,109
53,77,89,101,102
43,54,64,71,88
8,15,36,75,84
26,47,81,85,90
20,47,93,110,112
6,21,26,31,47
7,13,53,68,109
16,52,74,81,114
33,63,68,92,96
26,39,72,87,98
11,26,28,51,68
1,7,76,90,97
4,25,55,75,112
7,15,40,74,78
17,75,78,91,99
10,22,25,30,32
30,47,77,83,96
22,39,62,69,100
28,34,68,83,97
25,55,62,72,87
17,25,47,56,85
9,28,46,47,68
26,47,65,84,93
28,44,50,66,74
6,17,20,23,41
12,39,40,69,86
2,5,17,47,102
20,48,87,98,114
31,63,65,69,87
15,31,33,73,98
16,39,95,111,114
38,40,74,77,101
11,55,72,89,112
19,37,65,70,107
6,29,34,62,91
20,26,39,80,106
8,21,40,62,92
20,50,72,97,101
1,16,25,41,86
5,22,91,93,101
6,26,28,49,79
26,47,53,63,86
